id,churn
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,1
559,0
560,0
561,0
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,1
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,1
668,0
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,1
683,1
684,0
685,1
686,1
687,0
688,0
689,1
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,1
748,1
749,0
750,0
